word,part,definition,graphemes
aa,bu.,bu. vh subteta vzt subtet kysi o vh subtate vzt subtat kysi deqhm. cxla ysi gega in sxgu z gega shlp. in vs ju buhhtes uxi beba.,aa
aaosi,e.,e. taar in kauin hgasi dkdg deqhm.,aa o si
aappaa,sj.,sj. yra lela. yra ja asj. kat yra o gta z ja ahk je hji.,aa pp aa
aayin,e.,e. aosiple taar je ji el je ishl am hji inasi.,aa y in
achai,e.,e. ahk kap gudde.,a ch ai
achei,sj.,sj. yra lqa o htu ykai z je yra ji oteb.,a ch ei
afhjshf,e.,e. aappaa je axx. am olla. yra je kap axx. aokai je sxk ji.,a f hj sh f
afsu,k.,k. vh cjja ee vh cjje aisir rik.,a f su
aga,sj.,sj. afsu f hucher.,a ga
agappx,sj.,sj. ewer z kytu. a kuuee.,a ga pp x
ahg,k.,k. vk gudde aa shg dkdg.,a h g
ahj,sj.,sj. taar gudih kyin el shley. uku hucher hmt beba el shley.,a hj
ahk,k.,k. ging dkdg vk kytu.,a h k
ahsh,sj.,sj. ahg kytu f sxresh.,a h sh
aibesj,sj.,sj. lef jajije lpubel ash. gegagu z l uxi aie hji.,ai be sj
aidu,k.,k. qah suba kadu am subb kap kadu.,ai du
aie,sj.,sj. dust ja je asj ee je ja asj o dust je giduh z ja yk dkdg ee ja giduh z je yk dkdg aa uxi kytu f kyv.,ai e
aige,e.,e. yra ahg.,ai ge
aiger,i.,i. ahg je atek kat yre ginger je ji.,ai ge r
aiguux,sj.,sj. vh oraux qatub z gega bteb f eeluz.,ai gu ux
aiin,k.,k. vk gudde aa thg dkdg f ging rak in dkdg.,ai in
aik,k.,k. ju yra suba kadu o yra subb kadu.,ai k
aiok,k.,k. vh uxaux yele vzt yra suba aiqr. yra aik.,ai o k
aiqr,k.,k. vh yre sjlup o vh uxauxf vzt beba.,ai qr
air,sj.,sj. liliax z ja.,ai r
airli,k.,k. suba kytu aa subb kytu aa ehg kytu.,ai r li
airlx,k.,k. suba kytu am subb hytu.,ai r l x
aish,sj.,sj. qah z ju lela lela kadu.,ai sh
aisir,a.,a. asre deqhm.,ai si r
aitek,e.,e. hhk husj. oly hhk husj. thg atek. oly thg atek. aohz je je tji. aohz ahk je ulio.,ai te k
aitgutea,sj.,sj. ahk yra gudde brye aozh alax ji. vk gudde irli atek aozh alex ji.,ai t gu te a
aiugf,i.,i. oley el je tlah f lela belu je kyso. taar yra ji. am deaw je xgf. auin jel ji.,ai u g f
aizsuda,sj.,sj. kyin aa toy f zuf z ging.,ai z su da
aizt,sj.,sj. tair vzt.,ai z t
aje,cj.,cj. subtatef je.,a je
aka,sj.,sj. akerux ee akcxa.,a ka
akabk,sj.,sj. yre aka l ppsux ji. yre aka el l btebe kap bek ji. aka yk ahk vs aka btebe f zkehu ji.,a ka b k
akachf,i.,i. gudda yra ktap hji. lpupl exiex xgin yra dkdg. plahe yre gudda ktap shg. lpupl btebr shg yra dabu. oyr xgin kevin kzin.,a ka ch f
akagata,sj.,sj. amti ahk kyv f deda.,a ka ga ta
akcxa,sj.,sj. laf yra cxs kat tael yra ji el yra lqa.,a k cx a
akerux,sj.,sj. laf xeli cxs.,a ke r ux
akudep,sj.,sj. qvq z guo. k. plu guo rah in dyt.,a ku de p
akydep,k.,k. plu liuzu z guo akudep.,a k y de p
akyt,k.,k. siuaa subtet ee subtat hji.,a k y t
alaw,sj.,sj. alp kakakaw.,a la w
alax,e.,e. sxuk uxauxf ging aiin.,a la x
alb,e.,e. uku alp. vh dku hutl vs def kakauka yra ji.,a l b
alex,e.,e. sxzu ging aiin.,a le x
alfsu,sj.,sj. pdepr aga ji ishl.,a l f su
algin,sj.,sj. yre alpp. kap lavit am utal. uxaux siuai ykai ehu dkdg.,a l g in
alih,k.,k. pdepr hucher kyin.,a li h
alip,e.,e. vs je alp ji.,a li p
alp,e.,e. hucher alpu. suba heba in bteb am subb beba in bteb. kakauka vs du ju yra ji.,a l p
alpi,a.,a. kyin f hgasi alpp.,a l p i
